利用日,利用店名,利用額,取引種類,確定／未確定,備考,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁
2025/12/31,カインズホーム 大衆酒場りゅうちゃん,5268,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/31,酒蔵やまなか 大衆酒場りゅうちゃん,227549,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/30,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,12075,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/30,セイミヤ佐原牧野店 さわら十三里屋リアルカード,858,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/12/30,酒蔵やまなか 韓国酒場ハナ,86576,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/30,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,1467,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/29,タイヨーオークビレッジ店 タコとハイボール神栖横丁,1273,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/12/29,カスミ　ＦＭ神栖 タコとハイボール神栖横丁,537,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/12/29,タイヨーオークビレッジ店 大衆酒場りゅうちゃん,3864,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/29,印刷通販プリントパック さわら十三里屋,3490,売上,確定,,未添付,,,申請不要,さわら十三里屋,538
2025/12/29,ﾗｸﾃﾝﾄﾗﾍﾞﾙ ｺｸﾅｲｼｭｸﾊｸ ビルメン事業部,22350,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/12/28,タイヨーオークビレッジ店 もも焼きJAPAN,9585,売上,確定,,添付済み,食材,2025/12/29,申請不要,もも焼きJAPAN,207
2025/12/28,タイヨーオークビレッジ店 タコとハイボール神栖横丁,808,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/12/28,印刷通販プリントパック 焼きたて屋コメリパワー鹿島店,2490,売上,確定,,未添付,,,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/12/28,印刷通販プリントパック 焼きたて屋コメリパワー鹿島店,2490,売上,確定,,未添付,,,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/12/28,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1273,売上,確定,,添付済み,,2025/12/29,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/12/27,タイヨーオークビレッジ店 もも焼きJAPAN,8157,売上,確定,,添付済み,食材,2025/12/28,申請不要,もも焼きJAPAN,207
2025/12/27,タイヨー神栖店 タコとハイボール神栖横丁,1774,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/12/27,ベストリカー神栖店 タコとハイボール神栖横丁,330,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/12/27,セイミヤ神栖店 大衆酒場りゅうちゃん,9297,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/27,ｶﾝｺｸｼｮｸﾋﾝｺｽﾒﾗｸﾃﾝｲﾁ(ﾗｸﾃﾝ 韓国酒場ハナ,2250,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/27,ｺﾘｱﾀｳﾝ            (ﾗｸﾃﾝ 韓国酒場ハナ,3550,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/27,タイヨー神栖店 韓国酒場ハナ,138,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/27,ベストリカー神栖店 韓国酒場ハナ,1311,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/27,ｷﾞﾖｳﾑｽ-ﾊﾟ-ｶﾐｽﾃﾝ 韓国酒場ハナ,1065,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/12/26,タイヨーオークビレッジ店 大衆酒場りゅうちゃん,13354,売上,確定,,添付済み,,2026/1/1,申請不要,大衆酒場りゅうちゃん,2739
2025/12/26,吉野家 鳥害対策課,2398,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/12/26,ｱﾎﾟﾛｽﾃ-ｼﾖﾝ 鳥害対策課,1577,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/12/26,ｱﾎﾟﾛｽﾃ-ｼﾖﾝ 鳥害対策課,1946,売上,確定,,未添付,,,申請不要,鳥害対策課,819
2025/12/26,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,2198,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
